-1	0.03688
-0.95	0.10752
-0.9	0.17708
-0.85	0.24194
-0.8	0.29942
-0.75	0.3547
-0.7	0.4054
-0.65	0.45274
-0.6	0.50236
-0.55	0.54094
-0.5	0.58442
-0.45	0.62108
-0.4	0.6453
-0.35	0.67034
-0.3	0.69484
-0.25	0.7149
-0.2	0.72006
-0.15	0.73188
-0.1	0.74612
-0.05	0.74884
0	0.74732
0.05	0.73844
0.1	0.74324
0.15	0.73128
0.2	0.7103
0.25	0.69448
0.3	0.67328
0.35	0.6466
0.4	0.61026
0.45	0.58042
0.5	0.54412
0.55	0.50758
0.6	0.458
0.65	0.40736
0.7	0.35122
0.75	0.2976
0.8	0.24312
0.85	0.17572
0.9	0.10708
0.95	0.03584
